Unique Specimen Number,Label Date,Site,Display Date,Station,Collection Method,Specimen Kind ,Order,Family,Genus,Subgenus,Species,Subspecies,Nr.,Label Name,Short label name,Sex,Vial Duplicates,Voucher Specimen,Questionable or Incomplete Identification,Broken Specimen,Entered by,Entered Date,NOTES,Count,18,Jgardner
7200,20190705,POS,4/Jul/2015,POS21,N,P,,,Colletes,,fulgidus,,,Colletes fulgidus,Colletes fulgidus,F,,,,,WRP,42322,~100 sw. gumweed (Grindelia),1,0,0
7201,20190705,POS,4/Jul/2015,POS21,N,P,,,Triepeolus,,msp. BS0063,,,Triepeolus msp. BS0063,Triepeolus msp. BS0063,M,,,,,WRP,42322,"~100 sw. gumweed (Grindelia), exemplar msp. BS0063, [BBSL Jan2023]",1,0,0
7202,20190705,POS,4/Jul/2015,POS21,N,P,,,Ceratina,Zadontomerus,nanula,,,Ceratina (Zadontomerus) nanula,Ceratina nanula,F,,,,,WRP,42322,~100 sw. gumweed (Grindelia),1,0,0
7203,20190705,POS,4/Jul/2015,POS21,N,P,,,Ceratina,Zadontomerus,nanula,,,Ceratina (Zadontomerus) nanula,Ceratina nanula,F,,,,,WRP,42322,~100 sw. gumweed (Grindelia),1,0,0
7204,20190705,BPF,4/Jul/2015,BPF6,T,P,,,Lasioglossum,Dialictus,knereri,,,Lasioglossum (Dialictus) knereri,Lasioglossum knereri,M,,,,,WRP,42322,"sent to Dr. Gibbs [WRP 20230201], det. J Gibbs [WRP 20230330]",1,0,0
7205,20190731,POS,30/Jul/2015,POS1,T,P,,,Halictus,Protohalictus,rubicundus,,,Halictus (Protohalictus) rubicundus,Halictus rubicundus,M,,,,,WRP,42322,,1,0,0
7206,20190731,POS,30/Jul/2015,POS1,T,P,,,Lasioglossum,Dialictus,incompletum,,,Lasioglossum (Dialictus) incompletum,Lasioglossum incompletum,M,,,,,WRP,42322,"Corrected from Sphecodes [WRP 20211018]; sent to Dr. Gibbs [WRP 20230201], det. J Gibbs [WRP 20230330]",1,1,0
7207,20190731,POS,30/Jul/2015,POS1,T,P,,,Sphecodes,,msp. BS0003,,,Sphecodes msp. BS0003,Sphecodes msp. BS0003,F,,,x,,WRP,42322,,1,0,0
7208,20190731,POS,30/Jul/2015,POS1,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,F,,,,,WRP,42322,,1,0,0
7209,20190731,POS,30/Jul/2015,POS1,T,P,,,Megachile,Litomegachile,brevis,,Y,Megachile (Litomegachile) nr. brevis,Megachile brevis,F,,,,,WRP,42322,,1,0,0
