Unique Specimen Number,Label Date,Site,Display Date,Station,Collection Method,Specimen Kind ,Order,Family,Genus,Subgenus,Species,Subspecies,Nr.,Label Name,Short label name,Sex,Vial Duplicates,Voucher Specimen,Questionable or Incomplete Identification,Broken Specimen,Entered by,Entered Date,NOTES,Count,18,Jgardner
1,20160610,SCL,10/Jun/2016,SCL1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
2,20160610,SCL,10/Jun/2016,SCL1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
3,20150620,SCL,20/Jun/2015,SCL2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
4,20150510,SCL,10/May/2015,SCL2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
5,20160327,SCL,27/Mar/2016,SCL2,T,P,,,Bombus,Pyrobombus,sitkensis,,,Bombus (Pyrobombus) sitkensis,Bombus sitkensis,F,,,,,VE,41327,specimen missing [WRP 20240208],1,0,0
6,20150620,SCL,20/Jun/2015,SCL2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
7,20160610,SCL,10/Jun/2016,SCL2,N,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
8,20160610,SCL,10/Jun/2016,SCL4,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
9,20160610,POS,10/Jun/2016,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
10,20160610,POS,10/Jun/2016,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
11,20140714,POS,14/Jul/2014,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
12,20160610,POS,10/Jun/2016,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
13,20140714,POS,14/Jul/2014,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
14,20160610,POS,10/Jun/2016,POS1,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
15,20150620,POS,20/Jun/2015,POS2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
16,20150620,POS,20/Jun/2015,POS2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
17,20160610,POS,10/Jun/2016,POS2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
18,20140714,POS,14/Jul/2014,POS2,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
19,20150620,POS,20/Jun/2015,POS3,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
20,20160610,POS,10/Jun/2016,POS4,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
21,20160610,POS,10/Jun/2016,POS4,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
22,20160610,POS,10/Jun/2016,POS4,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
23,20160610,POS,10/Jun/2016,POS4,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
24,20160417,POS,17/Apr/2016,POS4,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
25,20160610,POS,10/Jun/2016,POS4,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
26,20160610,POS,10/Jun/2016,POS4,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,,,,,VE,41327,Corrected from B. sitkensis [WRP 20240208],1,0,0
27,20140714,SCL,14/Jul/2014,SCL1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
28,20140817,SCL,17/Aug/2014,SCL1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
29,20150620,SCL,20/Jun/2015,SCL1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
30,20160807,SCL,7/Aug/2016,SCL1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
31,20150419,SCL,19/Apr/2015,SCL1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
32,20140817,SCL,17/Aug/2014,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
33,20140714,SCL,14/Jul/2014,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
34,20150620,SCL,20/Jun/2015,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
35,20160807,SCL,7/Aug/2016,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
36,20150419,SCL,19/Apr/2015,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
37,20160807,SCL,7/Aug/2016,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
38,20160807,SCL,7/Aug/2016,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
39,20160807,SCL,7/Aug/2016,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
40,20150620,SCL,20/Jun/2015,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
41,20150419,SCL,19/Apr/2015,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
42,20150419,SCL,19/Apr/2015,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
43,20150510,SCL,10/May/2015,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
44,20150510,SCL,10/May/2015,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
45,20160610,SCL,10/Jun/2016,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
46,20160807,SCL,7/Aug/2016,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
47,20160716,SCL,16/Jul/2016,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
48,20160417,SCL,17/Apr/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
49,20140714,SCL,14/Jul/2014,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
50,20160610,SCL,10/Jun/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
51,20160807,SCL,7/Aug/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
52,20150419,SCL,19/Apr/2015,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
53,20160807,SCL,7/Aug/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,overflow voucher collection 5/10/19,1,0,0
54,20160807,SCL,7/Aug/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
55,20160807,SCL,7/Aug/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
56,20160807,SCL,7/Aug/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
58,20160417,SCL,17/Apr/2016,SCL5,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
59,20150510,POS,10/May/2015,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
60,20150419,POS,19/Apr/2015,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
61,20150419,POS,19/Apr/2015,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
62,20150510,POS,10/May/2015,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
63,20150510,POS,10/May/2015,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,overflow voucher collection 5/10/19,1,0,0
64,20160417,POS,17/Apr/2016,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
65,20160417,POS,17/Apr/2016,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
66,20150510,POS,10/May/2015,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
67,20150419,POS,19/Apr/2015,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
68,20150711,POS,11/Jul/2015,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
69,20160417,POS,17/Apr/2016,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
70,20160417,POS,17/Apr/2016,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
71,20160417,POS,17/Apr/2016,POS2,T,P,,,Bombus,Cullumanobombus,rufocinctus,,,Bombus (Cullumanobombus) rufocinctus,Bombus rufocinctus,F,,,,,VE,41327,"Q, corrected from B. fervidus [WRP 20211011]",1,0,0
72,20160417,POS,17/Apr/2016,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
74,20150510,POS,10/May/2015,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
75,20150510,POS,10/May/2015,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
76,20140817,POS,17/Aug/2014,POS3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
77,20150510,POS,10/May/2015,POS3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
78,20150510,POS,10/May/2015,POS3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
79,20150510,POS,10/May/2015,POS3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
80,20150711,POS,11/Jul/2015,POS3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
81,20150419,POS,19/Apr/2015,POS3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
82,20160417,POS,17/Apr/2016,POS4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41327,,1,0,0
83,20160610,POS,10/Jun/2016,POS4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41328,,1,0,0
84,20140817,SCL,17/Aug/2014,SCL1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
85,20140714,POS,14/Jul/2014,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
86,20160716,SCL,16/Jul/2016,SCL1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
87,20160716,SCL,16/Jul/2016,SCL1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
88,20140714,SCL,14/Jul/2014,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
89,20140714,SCL,14/Jul/2014,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
90,20160716,SCL,16/Jul/2016,SCL2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
91,20160716,SCL,16/Jul/2016,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
92,20160807,SCL,7/Aug/2016,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
93,20160807,SCL,7/Aug/2016,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41328,corrected from M [WRP 20211011],1,0,0
94,20160807,SCL,7/Aug/2016,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
95,20160807,SCL,7/Aug/2016,SCL3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
96,20160716,SCL,16/Jul/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41328,corrected from M [WRP 20211011],1,0,0
97,20160716,SCL,16/Jul/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41328,corrected from M [WRP 20211011],1,0,0
98,20150711,SCL,11/Jul/2015,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
99,20160716,SCL,16/Jul/2016,SCL4,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41328,corrected from M [WRP 20211011],1,0,0
100,20160807,SCL,7/Aug/2016,SCL5,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41328,corrected from M [WRP 20211011],1,0,0
101,20160807,SCL,7/Aug/2016,SCL5,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41328,Some yellow on T3,1,0,0
102,20160807,SCL,7/Aug/2016,SCL5,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
103,20140714,POS,14/Jul/2014,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
104,20140714,POS,14/Jul/2014,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
105,20150808,POS,8/Aug/2015,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
106,20140714,POS,14/Jul/2014,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
107,20140714,POS,14/Jul/2014,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
108,20160807,POS,7/Aug/2016,POS2,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,,,,,VE,41328,corrected from M [WRP 20211011],1,0,0
109,20160716,POS,16/Jul/2016,POS3,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,VE,41328,,1,0,0
110,20150510,SCL,10/May/2015,SCL1,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
111,20150510,SCL,10/May/2015,SCL1,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
112,20160610,SCL,10/Jun/2016,SCL1,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
113,20160610,SCL,10/Jun/2016,SCL1,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
114,20160610,SCL,10/Jun/2016,SCL1,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
115,20150620,SCL,20/Jun/2015,SCL1,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
116,20150808,SCL,8/Aug/2015,SCL1,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
117,20150620,POS,20/Jun/2015,POS1,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
118,20150510,SCL,10/May/2015,SCL2,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
119,20150620,SCL,20/Jun/2015,SCL2,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
120,20150620,SCL,20/Jun/2015,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
121,20150620,SCL,20/Jun/2015,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
122,20160327,SCL,27/Mar/2016,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
123,20150419,SCL,19/Apr/2015,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
124,20150620,SCL,20/Jun/2015,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
125,20160610,SCL,10/Jun/2016,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
126,20160417,SCL,17/Apr/2016,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
127,20150510,SCL,10/May/2015,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
128,20150510,SCL,10/May/2015,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
129,20150620,SCL,20/Jun/2015,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
130,20150620,SCL,20/Jun/2015,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
131,20150620,SCL,20/Jun/2015,SCL2,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
132,20150620,SCL,20/Jun/2015,SCL3,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
133,20150419,SCL,19/Apr/2015,SCL4,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
134,20150620,SCL,20/Jun/2015,SCL4,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
135,20140928,SCL,28/Sep/2014,SCL4,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
136,20140928,SCL,28/Sep/2014,SCL4,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
137,20140714,SCL,14/Jul/2014,SCL4,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
138,20140928,SCL,28/Sep/2014,SCL4,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
139,20160610,SCL,10/Jun/2016,SCL4,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
140,20160610,SCL,10/Jun/2016,SCL4,T,P,,,Bombus,Pyrobombus,mixtus,,,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,,,,,VE,41328,,1,0,0
