"Species","BPF","POS","SCL","MeanDecreaseAccuracy","MeanDecreaseGini"
"Halictus tripartitus",2.13004484304933,54.30082366155,7.82422293676313,13.366571890871,4.00731077007216
"Agapostemon texanus",1.34529147982063,10.61868214152,14.7374062165059,10.6967340315891,2.77156205561461
"Bombus melanopygus",4.98878923766816,0.107637588918008,0.107181136120043,9.47196028428986,1.93923210925488
"Melissodes rivalis",1.79372197309417,0.0795582178959191,1.5005359056806,7.71377349324618,1.80313417875013
"Bombus fervidus",0.504484304932735,0.917259453388244,2.73311897106109,7.62622678901044,1.64343231317277
"Osmia albolateralis",0.112107623318386,0.95469861475103,0.482315112540193,8.19024494906856,1.6407860077485
"Apis mellifera",0.448430493273543,2.07787345563459,6.59163987138264,5.78153271113576,1.43735668081561
"Halictus confusus",5.4372197309417,0.505428678397604,0.160771704180064,7.25659665188435,1.26839096539841
"Bombus vosnesenskii",13.9013452914798,7.28191688506177,18.4351554126474,5.92617697385587,1.12989044878619
"Bombus mixtus",7.56726457399103,2.02639460876076,2.73311897106109,3.61412328069482,0.863800715955117
